	value	TF
ART3	3.01360054893775	0
ART5	1.82062422026093	0
HERC2P4	0.875285865008462	0
SPTLC1	0.431042006011608	0
TCEA2	0.621071058001727	0
TCEA3	1.5876760795184	0
TCEA1	0.496171237674711	0
COX4I2	2.4536232057529	0
COX4I1	0.866561025820843	0
BFAR	0.3828639403412	0
MROH2B	2.58741617783035	0
CRTAM	3.07963340024183	0
EDA	1.50877639215299	0
LAPTM4B	1.08933876311827	0
OR6P1	6.78232998312527	0
CCDC116	1.07868116686945	0
CADPS2	0.970367284999782	0
CCDC114	1.83751404975873	0
RLF	0.861250768938064	1
CCDC112	1.13123533979341	0
MCF2L	1.19602566548792	0
CCDC110	1.80928194862641	0
LEO1	0.386161217771982	0
MTCL1	1.09624678079312	0
ATP1A4	2.18996888890506	0
ATP1A3	2.9432863247508	0
ATP1A2	2.14593058365086	0
ATP1A1	1.02293570680459	0
MGRN1	0.600579226885022	0
ADHFE1	0.854810313040817	0
CRTAP	0.952925234186274	0
DHX8	0.466756262880949	0
SPHK1	1.68606753951107	0
DPT	1.88629126584213	0
CUEDC1	0.718126685277228	0
CUEDC2	0.454680076652614	0
SP9	5.1999404117629	1
AIM1	1.40819964845498	0
CPEB4	0.901134290963158	0
ZNF440	0.64675087843419	1
CPEB1	1.55062534466575	0
CPEB3	0.939143804873772	0
CPEB2	1.13444895593902	0
RBMXL1	0.468986810359045	0
CCDC43	0.411056070883848	0
RBMXL3	3.64499677083633	0
SRBD1	0.579299607567782	0
ABAT	1.66296910629342	0
HCAR1	2.07477430278786	0
ZNF780A	0.517426541984092	1
ZNF780B	0.681938401998756	1
TSNARE1	1.00123299795491	0
FRG1	0.461036215688387	0
TP53TG5	2.4984489087015	0
RHEBL1	0.767250336880603	0
ZNF41	0.391329770536596	1
IFT80	0.720152303548711	0
IFT81	0.89047941234191	0
IFT88	0.501405188271224	0
POU5F1B	2.93305854554942	1
KRTAP29-1	2.29573336824278	0
GRINA	0.865549037937056	0
KISS1R	1.7868032119176	0
MCM10	1.41688931371517	0
NUP93	0.62031510260298	0
IGFBPL1	1.93998569863097	0
ATG4C	0.662807052329489	0
ATG4B	0.436269017720912	0
ATG4A	0.679992620056419	0
KYNU	2.23551337280992	0
ATG4D	0.5082069968008	0
PHOX2A	2.57040894559176	1
PHOX2B	3.30056794202321	1
LRGUK	1.07429603627174	0
UPK2	2.32043910933277	0
CFH	3.7168994264729	0
GPT2	1.23150796635171	0
PNP	0.848712407347769	0
ANKFY1	0.516382046507591	0
CFB	5.26652304428519	0
OR5P3	2.67284595692534	0
OR5P2	3.14981083602274	0
CDKAL1	0.396835540759146	0
PNN	0.658096519604554	0
ATP6V0E1	0.555200566741663	0
ATP6V0E2	1.23894750951243	0
RNF128	2.31189259031503	0
CFP	2.79766296054434	0
OSER1	0.900840606577262	0
AAAS	0.476001435549011	0
HAMP	4.65860863461011	0
SIDT1	2.13694520200542	0
SERPINA10	6.52451700867799	0
SIDT2	0.719380785229845	0
PYY	3.7807350862375	0
MSLNL	2.27733819269745	0
SIX4	1.48609074800952	1
SIX5	0.800800300769557	1
SIX6	3.63016805540591	1
SAGE1	4.77622261097182	0
MR1	0.988890324638412	0
SIX2	2.95788720302218	1
SIX3	4.88355123265309	1
CNPY4	0.545709212368733	0
CNPY3	0.560725308518591	0
CNPY2	0.462905280212811	0
CNPY1	3.8545601164463	0
PRIMPOL	0.607464119701472	0
COPG2	0.777510672775836	0
KNDC1	1.52088778592448	0
HMG20A	0.420522228626866	1
HMG20B	2.7126519649778	1
GLT8D2	1.66873468264582	0
AAGAB	0.470533317302501	0
C4orf19	1.64348956130453	0
C3orf79	4.93001249983849	0
SLC7A6OS	1.47213293681234	0
SYNJ2	0.706918883651625	0
CREB1	0.508367183975613	1
C3orf70	1.58613846410079	0
MRO	2.65469249307362	0
ZFP82	0.703821706129655	1
CHFR	0.555139802206566	0
KRAS	0.536153248358762	0
SMDT1	0.656007871655562	0
FAM81A	1.8489311482466	0
SYPL2	2.96395195654239	0
RFPL4AL1	2.99857729183052	0
NPR3	4.00192569937952	0
RCOR2	1.69372541102734	1
RFX4	2.93629194951489	1
RFX5	0.629369682291156	1
APP	0.733660817813478	0
RFX7	0.703341361255675	1
NRXN3	2.63187801969012	0
RFX1	0.459537522609544	1
NRXN1	2.44882348330005	0
RFX3	0.954573514773182	1
YDJC	0.789466250506003	0
IBA57	0.477620065848206	0
